p,d,rounds,logical_error_rate
0.001,3,3,0.0004446421217579877
0.001,5,5,6.667555733375075e-05
0.011,3,3,0.02273519408117486
0.011,5,5,0.0276172039186785
0.020999999999999998,3,3,0.07000912124668979
0.020999999999999998,5,5,0.0843442988241111
0.030999999999999996,3,3,0.11449842413668387
0.030999999999999996,5,5,0.1200217621695957
0.040999999999999995,3,3,0.1565673346982508
0.040999999999999995,5,5,0.1271402515645358
0.05099999999999999,3,3,0.17199848564096687
0.05099999999999999,5,5,0.12406110357267297
0.06099999999999999,3,3,0.18920871918913407
0.06099999999999999,5,5,0.13640812988233952
0.071,3,3,0.20313728713037615
0.071,5,5,0.13178338601947004
0.08099999999999999,3,3,0.20313728713037615
0.08099999999999999,5,5,0.128869841940358
0.09099999999999998,3,3,0.20034737303542272
0.09099999999999998,5,5,0.12817635811781702
